67	232	330	329	99	14	1
189	327	305	216	106	69	1
34	210	350	215	81	6	1
196	121	349	268	188	110	1
172	102	351	273	1403	129	1
55	233	323	231	61	1	1
187	113	301	206	1425	122	1
111	309	115	112	181	67	1
189	134	262	192	143	113	1
188	309	305	207	628	57	1
109	312	102	95	226	34	1
105	311	100	89	218	39	1
152	97	275	236	1489	128	1
153	98	260	256	1407	131	1
116	314	113	115	158	62	1
37	155	102	143	160	165	1
172	120	191	186	247	112	1
198	306	327	217	61	44	1
33	216	267	265	71	8	1
120	313	113	94	203	26	1
310	280	307	283	64	88	1
195	120	296	190	189	138	1
46	308	92	94	203	21	1
35	312	84	113	130	42	1
47	308	108	95	241	50	1
180	122	328	242	211	141	1
119	325	113	110	196	59	1
302	180	158	166	368	93	1
40	336	87	95	212	19	1
114	310	98	117	151	63	1
116	326	111	108	197	56	1
159	105	337	319	166	150	1
170	109	314	259	1097	133	1
113	306	113	96	196	30	1
233	244	330	218	56	38	1
33	213	346	219	61	5	1
105	308	108	99	181	43	1
104	309	111	90	241	31	1
182	126	237	177	175	108	1
314	279	-4	270	50	72	1
183	113	317	251	709	102	1
51	307	98	103	233	53	1
212	160	326	341	513	97	1
151	96	270	253	214	120	1
153	101	212	187	1120	152	1
207	128	351	193	141	109	1
165	110	347	368	243	146	1
58	155	59	153	133	166	1
177	124	330	317	220	139	1
98	329	109	109	196	36	1
161	109	350	345	1237	132	1
30	201	341	220	111	15	1
44	317	88	109	158	58	1
152	107	337	365	197	151	1
194	309	336	207	661	24	1
165	109	289	248	249	144	1
34	202	354	209	61	13	1
176	102	344	210	1495	127	1
164	110	355	256	1433	123	1
52	313	99	95	226	27	1
49	325	98	117	181	60	1
187	131	220	161	138	107	1
109	316	115	105	182	33	1
55	308	94	96	219	29	1
32	152	118	107	354	163	1
227	150	349	265	113	105	1
64	307	99	103	203	68	1
189	307	318	217	61	71	1
288	179	263	184	481	91	1
192	117	350	273	203	140	1
170	103	351	275	181	119	1
318	274	-2	266	50	74	1
186	115	352	210	212	143	1
185	161	4	259	766	98	1
167	111	270	212	231	115	1
316	270	-10	261	53	80	1
171	145	7	270	1502	101	1
293	180	258	129	444	92	1
50	310	91	109	136	66	1
44	157	117	95	196	154	1
108	308	112	96	203	25	1
149	114	346	347	324	137	1
110	308	106	101	203	49	1
291	167	232	164	323	94	1
165	105	286	227	226	117	1
57	157	96	102	489	161	1
165	105	337	322	1447	125	1
154	120	18	258	437	148	1
201	147	275	243	547	100	1
189	308	302	200	682	52	1
94	311	111	93	226	41	1
42	303	96	108	203	55	1
99	305	114	93	196	48	1
114	308	113	104	189	51	1
147	106	205	212	524	145	1
154	117	89	108	886	136	1
304	168	271	151	323	95	1
167	111	204	180	211	116	1
272	178	354	247	488	90	1
151	110	355	343	211	134	1
46	161	112	106	151	157	1
34	217	336	223	64	9	1
175	107	351	216	188	149	1
38	156	114	97	241	159	1
185	310	326	218	76	70	1
190	307	334	207	160	47	1
102	311	110	93	214	32	1
86	140	109	94	136	164	1
161	93	327	256	251	118	1
31	210	353	222	78	7	1
149	108	163	139	861	135	1
34	213	358	220	50	10	1
243	289	24	286	38	86	1
185	109	351	210	1461	124	1
102	320	113	93	241	37	1
98	313	115	94	219	46	1
112	308	111	97	196	17	1
116	332	111	105	188	22	1
190	311	320	204	612	18	1
94	356	109	90	233	28	1
40	149	108	111	145	160	1
311	278	309	274	41	83	1
181	128	238	166	170	111	1
321	241	320	238	271	75	1
344	184	21	168	1795	89	1
155	100	272	244	1496	126	1
33	202	338	214	50	16	1
111	310	111	98	211	35	1
152	98	341	336	217	121	1
104	335	111	119	166	64	1
231	146	349	181	519	99	1
121	311	110	102	181	20	1
320	255	0	252	46	85	1
45	148	101	90	181	153	1
29	222	270	269	111	12	1
102	303	115	113	143	54	1
263	292	-8	291	41	77	1
50	317	98	96	236	23	1
158	104	286	212	1427	130	1
36	151	135	56	1240	155	1
94	311	111	93	204	45	1
116	308	112	116	151	61	1
116	322	113	111	196	65	1
312	273	1	261	55	78	1
33	152	118	92	309	162	1
164	135	11	261	1695	103	1
